Volvo FH,$ 45 500,https://im.mashina.kg/tachka/images//f/9/c/f9c3dfc50e088cc3dcc6ff3fc8203b9e_240x180.jpg,"2011 г., 12.8 л., автомат,дизель,руль слева, 250 000 км"
Renault Magnum,$ 25 000,https://im.mashina.kg/tachka/images//5/a/e/5ae28daf8bd6871109e63baa8228ca35_240x180.jpg,"2013 г., 4.8 л., автомат,дизель,руль слева, 750 000 км"
DAF XF105 series,$ 49 000,https://im.mashina.kg/tachka/images//a/d/5/ad54af76d2b96a2d839e396b62c6c249_240x180.jpg,"2013 г., 5.1 л., механика,дизель,руль слева, 999 999 км"
Volvo FH,$ 60 000,https://im.mashina.kg/tachka/images//a/8/1/a81af2964a2f2fe08d8b290d48153adb_240x180.jpg,"2016 г., 5 л., робот,дизель,руль слева, 800 000 км"
DAF XF95 series,$ 18 000,https://im.mashina.kg/tachka/images//d/d/3/dd3fbf832e28cf289b12eca8c1a10aec_240x180.jpg,"2005 г., 12 л., механика,дизель,руль слева"
Volvo FH,$ 40 000,https://im.mashina.kg/tachka/images//e/7/4/e7498cfa433ba72a0af0082b964abab1_240x180.jpg,"2012 г., 6 л., механика,дизель,руль слева, 999 999 км"
DAF XF105 series,$ 32 500,https://im.mashina.kg/tachka/images//8/5/b/85bd9366151d30eefe2a958b3a5d02f6_240x180.jpg,"2013 г., 12.9 л., механика,дизель,руль слева, 500 000 км"
Volvo FH,$ 80 000,https://im.mashina.kg/tachka/images//c/0/3/c03803d1dc9c767dbe168d2d8a81c916_240x180.jpg,"2013 г., 13 л., автомат,дизель,руль слева, 1 000 000 км"
MAN TGA,$ 25 000,https://im.mashina.kg/tachka/images//1/9/1/1915c85f2cfc706f742babbfb0360d54_240x180.jpg,"2007 г., 10.5 л., автомат,дизель,руль слева"
Volvo FH,$ 55 000,https://im.mashina.kg/tachka/images//6/a/a/6aa001e8aef6f43142637934afb3f137_240x180.jpg,"2013 г., 12 л., автомат,дизель,руль слева, 960 000 км"
Scania R,$ 40 000,https://im.mashina.kg/tachka/images//8/5/c/85c5784662e214b11115b1e4090c20ef_240x180.jpg,"2011 г., 13 л., автомат,дизель,руль слева"
Volvo FH,$ 14 000,https://im.mashina.kg/tachka/images//b/1/f/b1f370d3ed0f618d04f265e039efe490_240x180.jpg,"1994 г., 12 л., механика,дизель,руль слева, 950 623 км"
Shacman F2000/F3000,$ 14 000,https://im.mashina.kg/tachka/images//b/c/b/bcbb549a5a4303ac52a535e727292032_240x180.jpg,"2007 г., 12 л., механика,дизель,руль слева, 777 777 км"
Mercedes-Benz 4x2,$ 22 500,https://im.mashina.kg/tachka/images//4/3/3/433890622d0b383b6d99ac76934fbf10_240x180.jpg,"2001 г., 12.5 л., робот,дизель,руль слева, 595 320 км"
DAF 95 series,$ 20 000,https://im.mashina.kg/tachka/images//e/e/2/ee2080151e624829e0ac1ed73d5a10e5_240x180.jpg,"2005 г., 12 л., автомат,дизель,руль слева"
